# tracer: function_graph
#
# entries-in-buffer/entries-written: 15876/15876   #P:6
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
          <idle>-0     (-----) [002] d..1   875.678187: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.678187: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.678201: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.678201: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.678215: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.678219: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d..1   875.678232: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.678279: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.679356: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.679363: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.679397: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.679404: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.679459: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.679472: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.679546: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.679550: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.679619: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.679623: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.679807: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.679817: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.679835: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.679845: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.688025: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.688025: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] d..1   875.688028: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [005] d..1   875.688028: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.688031: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.688035: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.688040: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [005] d.h1   875.688040: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [001] d.h1   875.688040: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [002] d.h1   875.688044: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [001] d..1   875.688048: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] d..1   875.688051: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] d.h1   875.688061: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [005] d.h1   875.688061: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [003] d..1   875.688075: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [005] dN.1   875.688095: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.695758: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [000] d.h1   875.695764: graph_ent: func=generic_handle_irq
          <idle>-0     (-----) [000] dNh1   875.695791: graph_ret: func=generic_handle_irq
          <idle>-0     (-----) [000] dN.1   875.695799: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.695846: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.695856: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.695921: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [002] dN.1   875.695924: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.695990: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [003] dN.1   875.695994: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [001] d..1   875.696169: graph_ent: func=gic_handle_irq
          <idle>-0     (-----) [001] dN.1   875.696179: graph_ret: func=gic_handle_irq
          <idle>-0     (-----) [000] d..1   875.696197: graph_ent: func=gic_handle_irq
